riddle,choice0,choice1,choice2,choice3,choice4,label
重阳曲 （歌曲名）,铁金刚,水手,社会理想,歌曲,但愿人长久,3
子时报晓 （现代书名）,革命现代京剧,革命现代京剧,李信与红娘子,地道战,祖父在父亲心中,2
华容对面各敛声 （打成语一）,才疏志大,敝帚自珍,司法行为,金鸡报喜,言谈举止,4
重粉浓脂不害羞 （的一成语）,厚颜无耻,卑鄙,卑鄙,不要脸,厚颜无耻,0
上尽重在更上楼 （乐曲）,医疗援助,春之声,铃儿响叮当,春之声,共铸中国心,1
忆苦活动再不搞 （打一成语）,血腥屠杀,臭名昭著,十恶不赦,活体解剖,惨无人道,4
二五之间 （打成语一）,低三下四,死要面子,装腔作势,赔笑脸,好言好语,0
黑沉沉 （打成语一）,下落不明,安然无恙,全军覆没,被害,已经死了,0
雨雪霏霏降九州 （打成语一）,端庄,秀外慧中,举手投足,温文尔雅,落落大方,4
竞赛成风 （打成语一）,曾经有人,屡见不鲜,很少,比比皆是,屈指可数,3
屡见不鲜 （二字电影）,新寡,夫人,续弦,孀居,待字闺中,0
模样像只小飞机，若要下雨它飞低。 （打一动物）,头虱,松鼠,羚羊,飞蛾,天蝎,3
出门挣钱不掏本 （打俗语四字）,简洁,沉稳,温文尔雅,干净利落,毫不含糊,4
广泛开展竞赛 （打一成语）,曾经有人,屡见不鲜,比比皆是,屈指可数,很少,2
容貌回忆 （唐诗目）,列女操,杨善深,子夜吴歌·秋歌,采莲曲二首,长安古意,4
尚有河南未定 （打一成语）,公诸同好,只字未提,男扮女妆,挨日子,轻信,1
断肠悲痛 （药名）,土茯苓,芦根,枇杷叶,通草,当归,3
吾日三省其身 （打一称谓职务）,州院,检察长,反渎局,干警,党组书记,3
胜境（打一成语）,知己知彼,后发制人,不败之地,避其锐气,以弱胜强,2
铁块很神秘，天生有吸力，吸住小铁钉，一扫就抓起。 （打一物）,磁铁,夹子,弹珠,老虎钳,玻璃管,0
聪明木匠聪明手，造起房子没门口。 （打一动物）,甲虫,水母,大灵猫,隐翅虫,茄子,0
打牌跳舞 （打一成语）,全能王,早就,不二法门,向壁虚造,别出新意,4
大眼睛，阔嘴巴，尾巴好像一朵花，红黑黄白各种色，游来游去美极了。 （打一动物）,蝌蚪,小鸭子,青蛙,锦鲤,金鱼,4
含恨修书 （唐诗目）,怀良人,春日醉起言志,长信怨,采莲曲二首,思归乐,0
离愁别泪一处流 （打一古书名）,班固,楚辞集注,音学五书,读史方舆纪要,后汉书,2
身穿一身大红袍，头戴蓬头绿高帽，默默坐在菜园里，一副傻相呆头脑。 （打一植物）,柿子椒,胡萝卜,西兰花,南瓜,菠菜,0
第一审判庭 （打一成语）,高境界,空谈,不二法门,一以贯之,要诀,2
七七七格子，八八八格子，九九九重阳，重阳开格子，格格有种子。 （打一水果）,柠檬,柳橙,百香果,枣子,苹果,3
叫嚣乎东西 （打一成语）,言之有物,妙语连珠,信手拈来,遣词造句,引经据典,0
九州风光无限好 （歌曲名）,垄上行,心底的中国,警察先生,遥寄相思,中国龙,3
无底洞（打一成语）,武圣,老道,深不可测,顶尖高手,神出鬼没,2
老练 （打一成语）,麻木,忘记了,理所当然,习以为常,司空见惯,4
百年前的月亮 （猜一种食品）,熊,李,马,杨,胡,1
又圆又扁像糕点，味道不咸也不甜，人们拿着不敢吃，看谁把它抛得远。 （打一物）,不锈钢丝,跳棋,箜篌,菊次郎の夏居酒屋,脚夫,1
燕红转体倾四座 （打成语一）,自知自明,也许以后,气冲冲,势利眼,一鼓作气,4
世界上最小的邮筒 （打一成语）,目瞪口呆,无语,不可思议,惊讶,难以置信,4
缺货通知单 （打一成语）,私吞,重温旧梦,堕入,不折不扣,因噎废食,3
未到西天难入眠 （歌曲名）,不经不觉,光阴,e-kids,年年岁岁花相似,煞科,0
衣裳雪雪白，头顶真龌龊，里面闭上眼睛，外面啼啼哭哭。 （打一生活物）,床架,凉席,棉毯,蚊帐,被子,3
慈禧西行回顾 （称谓职务）,花好月圆,喜娘,胭脂,红盖头,新郎官,1
鼓鼓眼睛脑袋小，四片透明网状翅，最爱翘着长尾巴，轻轻停在芦苇头。 （打一动物）,金雕,蝗虫,络丝娘,番鸭,蚰蜒,2
远看像骆驼，近看一堆土，土高半天空，有树有石头。 （打一物）,邮票,首日封,贺年卡,小全张,明信片,0
狂欢度元宵 （打一成语）,如释重负,相顾失色,二话不说,大喜过望,慌了手脚,3
小时一星星，长大一朴楞，开黄花，结流星。 （打一植物）,人衔,蒺藜,木通,细辛,刀箭,1
假意托付给银环 （打一成语）,老谋深算,虚与委蛇,阴奉阳违,装糊涂,撕破脸皮,1
年纪并不老，身上毛不少，身披大皮袄，山上吃青草。 （打一动物）,野驴,牦牛,狒狒,绵羊,骆驼,3
远看水里一朵花，近看凸眼有尾巴。色彩绚丽人人爱，缸里常玩过家家。 （打一动物）,金鱼,青蛙,小鸭子,蝌蚪,锦鲤,0
头上青丝如墨染 （打二字中药名）,乌梅,白果,海棠,水仙,牛膝酒,1
变态昆虫爱搓脚，香甜酸臭都喜欢。 （打一昆虫）,蚊子,苍蝇,瓢虫,蚂蚁,老鼠,0
蒙翳 （现代小说名）,风尘仆仆,六百英里,目的地不明,马塔潘角,来去匆匆,0
外出转眼二十载 （蔬菜）,万里香,萝卜干,茨菰,萝卜干,芦稷,0
空心树 （中药名）,日式高汤,优昙,玉竹,连翘,海螵蛸,2
龙的传人·摘匾格 （外国电影）,天音,米迦勒,疾风,晨星,狄亚,0
中秋赏菊 （打一成语）,水满则溢,繁忙,赴难,慷慨赴义,宽大为怀,0
妾生千金 （打一成语）,元和圣德诗,古之遗直,杂然相许,异哉,如出一口,2
身披一袭白皮袄，冬天献出密白毛。 （打一动物）,鳖,藕花,三角鳊,草蜢,珠颈斑鸠,1
大闹凌霄宝殿，脚踹森罗冥府。 （打一成语）,骇人,非同小可,撕心裂肺,惊天动地,在此刻,3
小胖子，穿麻衣，红衫白肚躲壳里。 （打一农作物）,核桃仁,黄皮果,菠菜,黄皮果,粮食作物,1
武皇开疆意未已 （汽车品牌）,cr-v,思域,马自达,凯美瑞,途乐,1
身披黄金甲，香味直冲天，有人喜欢它，有人讨厌它。 （打一水果）,山楂,香蕉,乌梅,莲子,沙果,1
成都草堂暂停开放 （打一常用成语）,亘古未有,犹豫不决,见异思迁,收留,末代,0
头戴红纱帽，身穿黑外套，登台作手势，走路唱小调。 （打一动物）,蚊子,蚂蚁,苍蝇,老鼠,瓢虫,1
判案先查“护官符 （打成语一）,搂搂抱抱,老大徒伤悲,重新做人,无名火起,白了少年头,2
未来战争 （中药名）,功劳木,合抱之木,芍药,白五,芫花,4
蝌蚪一变成小篆 （打一《聊斋志异》篇目）,雁,子规,蝉琴,唱唤,蛙曲,4
除夕元旦连捷报 （打成语一）,腹背受敌,一触即溃,正面战场,节节胜利,大败,3
朱阁神游 （古代著作）,曹雪芹,金陵十二钗,红楼梦,西厢记,聊斋志异,1
凶猛胆大换太子，身披豹纹不是豹。 （打一动物）,狼犬,雪貂,大老鼠,狸猫,猞猁,0
一个白胡老头，堪称干活能手，一路锄草行走，一路撒下黑豆。 （打一动物）,番鸭,穿山甲,大灰狼,纺织娘,知了,1
一张照片酿官司 （打一成语）,奋不顾身,毋庸置疑,去伪存真,因小失大,晕了,3
春闺喜得片时闲 （称谓职务）,护士,局长,赫芬顿邮报,大亨,高干,0
拂拂三寸长，有嘴没腹肠，行尽山头岭，见尽状元郎。 （打一物）,桅杆,观察哨,笸箩,农药,法国国家队,0
日边红杏倚云栽 （植物·前骊单珠）,罗浮,琴心,妙音,云天,凌霄,0
已有推辞之意 （打一琼瑶作品）,相思,却上心头,月满西楼,乡恋,小雨中的回忆,1
红漆桶，黑漆盖，十人看见九人爱。 （打一水果）,青枣,荷花,红提,柚子,三星,1
国内有变须援助 （古称谓一）,道长,四当家,三儿,三儿,道长,0
汉朝的财政部（打一成语）,多管闲事,晚春,无耻下流,的幸福生活,伉俪情深,0
丈夫腰缠万贯，妻子身怀六甲。 （打一古文篇目）,三国演义,诸葛孔明,隆中对,赤壁之战,出师表,2
东施效颦 （歌曲名）,红颜劫,半个月亮爬上来,枉凝眉,晴雯歌,葬花吟,2
说起话来不用嘴，走起路来不用腿，绳子吊起像个人，解了绳子像个鬼。 （打一物）,积木,秤砣,唇线,爆破筒,难为情,1
口字别解 （打一成语）,不清楚,人满为患,尖叫起来,老成持重,小家子气,0
脚上烙梅花，帮主人看家。饿了啃骨头，见人摇尾巴。 （打一动物）,燕子,巧取豪夺,卷耳猫,沙蟹,胃病,0
头戴小红红帽，身穿大白袍，走路摇摇摆，游泳稳又快。 （打一动物）,芙蓉,鸭嘴兽,固元膏,盛夏光年,贝壳,3
像鼠却又尾巴大，家里从来没有它，山上安家它喜欢，爬山上树本领大。 （打一动物）,猪,麻雀,大老鼠,蚱蜢,金毛狮子,2
夜来春水暖，送冰去无声。 （打成语一）,点点滴滴,潜移默化,熏陶渐染,教育影响,良苦用心,1
暗中决策·徐妃格 （西药名）,可拉明,去痛片,凡士林,安宁,可拉明,0
一人二人，治病救人。 （打一称谓）,可怕,空嫂,叔叔,可怕,海青天,2
铁公鸡 （打一成语）,抠抠搜搜,一毛不拔,吝啬鬼,死要面子活受罪,穷大方,1
一年四季穿青衫，不长枝叶绿自然，其形好似一只手，未曾修炼亦不凡。 （打一植物）,果实,半青,姜,羊绒,椰子,1
川为静春波 （中药名）,血竭,没药,佛手柑,安息香,薄荷脑,3
仰光俯瞰 （打七字俗语）,同行是冤家,难相处,拉拉扯扯,膈应,抬头不见低头见,4
模样像狼不是狼，奸诈狡猾可称王；身段苗条三角脸，棕黄毛色尾巴长。 （打一动物）,菜青虫,胃病,大老鼠,牲口,灰喜鹊,2
出身田州，搬到场州，场州拷打，搬到铁州，铁州摔打相骂，搬到牙州。 （打一植物）,莲蓬,果实,豆荚,蘑菇,橡子,2
小黑姑，居中间。风来了，荡秋千，雨停了，把网编。 （打一动物）,咪咪,隼,这种虫,泥蜂,羚羊,2
爱是从前的 （打一《楚辞》篇目）,楚辞,礼魂,惜往日,九怀,九歌,0
只管外表 （打二字称谓）,师叔,妻子,夫人,演员,消防兵,2
坐飞船 （打成语一）,东拉西扯,雪上加霜,追根究底,心服口服,国泰民安,0
此策利于孙仲谋 （打成语一）,最终目的,迫不得已,权宜之计,掣肘,师出无名,2
放风筝 （打成语一）,栽赃,威风,一帆风顺,点点滴滴,形容憔悴,2
小小缺口剑，天天带身边，若将它丢失，难以把家还。 （打一物）,开门,箱子,钥匙,螺丝刀,上锁,2
消费意识 （歌曲名）,自贡人民广播电台,深有体会,我要高飞,人在旅途洒泪时,太极神功,3
鲜血染帜 （杂志名）,红旗,海军,威武之师,排头兵,中流砥柱,0
身穿白绫袍，头戴黄纱帽，走路慢腾腾，游泳像船摇。 （打一动物）,鸡,鸭,鸽,鹅,山羊,2
钢铁脑袋薄又扁，木头身子细又长，开河修渠栽树苗，它能给你帮大忙。 （打一物）,kt板,中立,铁饼,困兽犹斗,婴儿床,2
身体圆胖胖，竹叶当食粮，珍贵又稀少，美名四方扬。 （打一动物）,刺毛虫,草鸮,蚕茧,天蝎,人参,0
无边落木萧萧下 （打三字中成药）,黄连片,喉症丸,一清颗粒,穿心莲,食母生,0
尖尖嘴，细细腿，狡猾多疑，拖只大尾 （动物）,猎狗,黑猫,狐狸,兔子,黄鼠狼,0
外孙 （中药名）,杭芍,小儿七星茶,玉竹,一舍,安石榴,1
我家有对黑母鸡，不吃米来光啃泥，下雪下雨到处跑，天晴在家饿肚皮。 （打一物）,伞,袖套,雨鞋,打赤脚,棉袜,0
东西动若参与商 （打一成语）,离奇,斤斤计较,飞龙在天,欢喜冤家,内忧外患,1
有为方得扬芳名 （花卉树木）,康乃馨,粉玫瑰,大丽花,风信子,马蹄莲,1
尽日君王看不足 （俗称谓）,伴娘,死鬼,男友,伙计,死鬼,3
无须导游 （打一成语）,搜肠刮肚,颠三倒四,若有所失,不得要领,无从下手,4
礼自远方 （打成语一）,迂腐,不近人情,刻薄,言而无信,一意孤行,1
播音工作 （打一成语）,一念之差,因果循环,执迷不悟,所托非人,罪恶的深渊,0
圆圆的脸蛋红又红，味道酸又甜，熟能当菜吃，生吃熟吃美味多。 （打一蔬菜）,荸荠,藕,韭黄,西芹,莴苣,1
白素贞口衔灵芝 （中药名）,枫香寄生,芫花,保婴丹,大腹皮,肉苁蓉,1
此公输子之巧也 （称谓职务）,玉树临风,劳动模范,承办人,兄台,爸爸,1
闲来无事各东西 （方剂名）,还少丹,白芍,桂枝茯苓丸,逍遥散,血府逐瘀汤,3
《红楼梦》与《莺莺传》 （打一成语）,两全其美,声东击西,将计就计,一石二鸟,敲山震虎,3
浑身疙瘩模样癞，呷呷叫着行动快。 （打一动物）,蝠鲼,企鹅,金龟甲,海胆,雏鸡,2
老闻波音 （歌曲名）,人在旅途洒泪时,糊涂的爱,新唱,晴雯歌,阿佤人民唱新歌,2
像棵小树长田中，结的子儿红又红，能当饭吃能酿酒，能做炊帚和条帚。 （打一农作物）,蒜苗,枇杷,香菇,芋头,高粱,2
左一下，右一下，只管早晚，不问春夏。 （打一物）,折扇,潜水服,软垫,廊心墙,尿液分析仪,0
长姑娘，黑包头，风吹来，就点头。 （打一植物）,白芋,稻子,甘蔗,罗汉豆,芦粟,1
曹操何故斩祭、张 （打一成语）,含糊其辞,矢口否认,信以为真,称是,诳骗,1
青青翠翠杆挺拔，文人墨客最钟情，一生只开一次花。 （打一植物）,松树,竹子,芭蕉,杂草,一棵,1
小名叫作馍馍蛋，皮黄疙瘩不好看。 （打一蔬菜）,猕猴桃,绿色蔬菜,土豆,马铃薯,玉米,4
黄河之水天上 （打一常用成语）,如释重负,喜出望外,大惊失色,乐滋滋,焦急万分,1
要扶持贫困户 （打俗语五字）,小心眼,蹬鼻子上脸,得理不饶人,胡搅蛮缠,火爆脾气,2
航空线近，航海线远 （打一成语）,茶余饭后,自寻烦恼,高谈阔论,纷纷攘攘,飞短流长,4
飞雪 （打成语一）,自吹自擂,费尽口舌,不着边际,天花乱坠,云山雾罩,3
鼻孔朝天，尾巴长长，脸色铁青，毛色金黄。 （打一动物）,盘羊,金丝猴,珍稀动物,大熊猫,白唇鹿,1
一字师 （打一古代著作）,戏术,梅花易数,大六壬,起卦,道藏,2
田（打一成语）,挖空心思,威逼利诱,寻根究底,撺掇,穷极无聊,0
黑脸包丞相，坐在大堂上。扯起八卦旗，专拿飞天将（打一动物名）,蜥蜴,蜘蛛,怪物,虫,蝎子,4
凡间地府弄颠倒 （打一成语）,不胜其任,百战不殆,惭愧,迂腐,狠毒,1
空枪瞄准练射击 （打一成语）,弹无虚发,挺身而出,火力全开,关键时刻,神经刀,0
宝宝不怕晒，穿衣真奇怪，里边套红衫，外面披麻袋。 （打一植物）,花生,蚕豆,腰果,南瓜籽,核桃,1
巨轮天亮出港 （电视剧名）,金城,改革家,空缺,卓文君,妈妈,4
邢乃言窍中五字及三指痕 （打一书名）,聊斋志异,石头记,高鹗,红楼梦,程乙本,4
雪泥鸿爪 （打六字俗语）,休怪,兢兢业业,吃眼前亏,走下去,活着,0
已购航空票 （打一成语）,无机可乘,难免,丢失的钱包,和而不同,树大招风,0
雨脚如麻未断绝 （歌曲名）,名胜,流连,驻足,沉醉,留恋,4
半陷门中缇骑围 （聊斋志异篇目）,东方,阴阳怪气,郑以伟,天下无敌,三仙,1
富有者，更知俭。 （打一成语）,掷地有声,发人深省,针砭时弊,妙趣横生,鞭辟入里,1
金猴奋起千钧棒 （四字常用语）,硬着头皮,睡眼朦胧,睡眼朦胧,强打精神,强打精神,3
和尚庙尼姑庵 （打成语一）,避招,电光石火,说时迟，那时快,蒙面人,间不容发,4
想走是假意，欲留是实情。 （打一成语）,完善自我,沙里淘金,正本清源,去伪存真,剖析,3
三次出差 （电视剧名）,千古一帝,改革家,天地男儿,贝贝,天下第一关,2
随波逐流走得慢，石门一关难侵犯，你别看它不起眼，怀里揣个宝贝蛋。 （打一动物）,螺,蚌,螃,龟,鳖,1
此日登临曙色开 （常言俗语三字）,老家伙,平白无故,谁知道,哪会,天晓得,4
大屋套小屋，小屋没窗户，我说你不信，你还在里住。 （打一物）,床架,凉席,棉毯,蚊帐,被子,3
说猫不是猫，性感又时尚，奔跑速度快，丛林好猎手。 （打一动物）,黑熊,豹子,狼,老虎,狐狸,1
口阔诸葛亮，肚大牛丞相，造起八卦亭，斩倒岳飞将。 （打一动物）,蜘蛛,蜥蜴,虫,蝎子,怪物,3
林枫欲老柿将熟 （果品）,红毛丹,猫山王,枸杞,杨梅,猫山王,3
太阳灶（打一成语）,乐此不疲,繁忙,人声鼎沸,喜气洋洋,热火朝天,4
淮阴侯中计 （打一成语）,矢口否认,含糊其辞,信以为真,诳骗,称是,0
乱扔乱放 （打一成语）,拨乱反正,吹吹打打,成群结队,任重道远,掠走,0
喜讲文明 （商标品牌商号）,富士通,家家乐,匹练,旁氏,疾风,3
全身雪白尾翼黑，红冠细腿白富美。 （打一动物）,天鹅,白鹭,绿头鸭,黑鹳,丹顶鹤,1
双双致书媒婆儿 （电视剧名）,烽烟图,李信与红娘子,东周列国战国篇,烦恼的喜事,风雨一世情,1
头戴尖尖铁帽，身穿八角龙袍，四面无依无靠，狂风吹它不倒。 （打一物）,复活,堡垒,candi,巴孔寺,塔,4
风惊枝动乱榆荚 （三字口语）,战战兢兢,捅娄子,喝倒彩,不成器,扭捏,1
身体又小又轻，有话没有声音，带着主人的使命，无脚到处远行。 （打一物品）,蜡烛,贺年卡,剪刀,电报,笔袋,2
写给男儿看的书 （打一古代著作）,天工开物,周礼,五柳先生传,聂小倩,说岳全传,4
共醉重阳节（打一歌名）,阿霞,一生何求,四季歌,小情歌,一生何求,1
有了阳光就发芽 （打成语一）,你我之间,来日方长,天下没有不散的宴席,也许以后,再见,1
步履艰难怯上楼 （四字俗语）,良配,小女,兄台,晚生,不敢高攀,4
黑宝宝，会变红，满身是孔会通风，明知火海偏要下，舍己为人放光明。 （打一物）,沙发垫,荷包,钢钎,奚官,发烫,4
路尽言未尽 （打一成语）,高谈阔论,搬弄,人前背后,说长道短,评头品足,3
秋色满郊野 （三字电影）,红高梁,北大荒人,黄土地,白雪,希望的田野,2
贬义 （常言俗语四字）,不好意思,吞吞吐吐,一本正经,呵呵,难为情,0
岳云 （打一俗语三字）,侃大山,张家长李家短,扯闲篇,唠嗑,高谈阔论,0
小鸽蛋，溜溜圆，外面香，里面甜。 （打一食物）,糯米团,元宵,饺子,汤圆,发糕,3
《木兰词》中妙句多 （打一成语）,逢场作戏,花言巧语,死心塌地,哄骗,糖衣炮弹,1
工作计划 （中药名）,硼砂,大蒜,当归,三分三,鬼藤,3
一只小知了，从不上树梢，捉住用嘴吹，吹出好声调。 （打一物）,耳朵,小鸡,呼噜噜,哨子,唿唿,0
四四方方一座城，里头住着许多兵。打起仗来毕剥响，从来不见兵出城。 （打一物）,现钱,复活,棉毯,转笔刀,墨斗,4
曲谱 （打一古籍）,古诗纪,柳如是别传,临川集,近思录,书经,4
让狗看家门 （打四字常言）,偷偷,十分满意,鬼使神差,权宜之计,不知羞耻,2
二人连夜一齐出走 （贬称谓）,抢劫,绑匪,盗窃犯,歹徒,蒙面人,1
东去扶桑已一载 （打一成语）,愁肠百结,没着没落,守活寡,夜不能眠,度日如年,4
农历十六娶新娘 （打一成语）,不怒自威,老两口,美猴王,绿肥红瘦,物归原主,4
天时人事日相催 （打一常用成语）,焦急万分,挑拨离间,末代,金银满地,习以为常,4
汤未煮沸便掀盖 （打四字俗语）,连蹦带跳,晕头转向,因小失大,那也好,档子,1
兄长为父 （打一称谓职务）,丈人,消防兵,派出所长,唯利是图,名誉会长,0
诳 （打一成语）,傻里傻气,老将出马,相思,行吟坐咏,旦夕之间,0
一只鸟儿大又怪，不会飞来跑得快，遇险总把脑袋藏，却把屁股露在外。 （打一动物）,螃,害兽,野兽,懒猴,螃蟹,3
一定要讲团结 （中药名）,商陆,夏枯草,蓝布正,苏木,云实,4
纸老虎（打一成语）,爱国如家,受了伤,一毛不拔,创业艰难,先见之明,2
马放南山 （打一称谓）,武警,消防兵,绿色军营,灭火英雄,战友,4
分离又十载，两地起相思 （中药名）,寒水石,金铃子,黄芪,茉莉,硇砂,4
为自由而战 （打一成语）,威廉·退尔,七零八落,追赶世界,全力出击,神经刀,3
兄弟共一室 （打一成语）,并驾齐驱,伯仲之间,打成平手,势均力敌,不相上下,1
黑黑眼圈大胖子，最爱林中把竹吃。 （打一动物）,伯劳,土球子,阿德利企鹅,螳螂虾,贝壳,0
欲罢欲忘还复忆 （打一常言俗语四字）,没什么大不了的,没什么大不了的,细嚼慢咽,顺水推舟,顺水推舟,2
人丹 （花卉树木）,金合欢,橡树,昂天莲,千日白,孟勐,0
祝酒词 （打成语一）,覆巢之下无完卵,乘火打劫,阳关道,不拘一格,康有为,3
模样生得丑，夜间到处走，钢针来防身，神仙难下手。 （打一动物）,一只狼,狗熊,刺猬,马蜂,兔子,0
墙上挂灯谜 （动物名）,一条蛇,壁虎,蜈蚣,蜘蛛,大老鼠,4
你坐我不坐，我行你不行，一夜站到大天明。 （打一动物）,美洲豹,母马,马猴,燕子,一只狼,4
耳不聋，眼不花，就是没头发。 （打一成语）,足智多谋,愚笨,心思缜密,聪明绝顶,才识过人,4
大雪飘飘 （打一成语）,天花乱坠,费尽口舌,自吹自擂,不着边际,云山雾罩,0
绿黄细嘴小白尾，矫健身姿显优美；下部羽毛白如雪，爱把东北各省越。 （打一动物）,快马,山羊,犀牛,锤头鲨,阿德利企鹅,1
四季如春 （中药名）,湘裙,千金子,萆薢,木瓜,麻油,1
文火 （打俗语三字）,过不去,有出息,白热化,拿大顶,不中用,2
尸魔初戏唐三藏 （中国电影）,高手,部队,幸福最晴天,受夹板气,三十而立,2
浪 （打成语一）,功败垂成,龙马精神,一世之雄,费解,双管齐下,2
身子轻如燕，飞在天地间。不怕相隔远，也能把话传（打一动物名）,哨探,快马,雏鸡,野鸭,信鸽,4
生在田野中，昼藏夜里行，背了一身刺，遇敌呈球形。 （打一动物）,刺猬,兔子,马蜂,狗熊,一只狼,0
佯习伪文 （打俗语四字）,洗心革面,无名小卒,揭不开锅,名不虚传,无名小卒,3
只报字号 （打一成语）,深居简出,避难,诈死,隐姓埋名,东躲西藏,3
吕布遇貂蝉 （打成语一）,临终作,当机立断,休戚与共,顺时秀,外强中干,2
浮雕石刻全被盗 （打成语一）,积毁销骨,不足为奇,糊里糊涂,食而不化,尸位素餐,1
千家万户尽欢腾 （打一世界名著）,山楂树之恋,茶花女,海上夫人,埃及人,人间喜剧,4
黯然消魂 （打一《聊斋志异》篇目）,色魔,老家伙,怪人,黑鬼,小白脸,3
太白太公各有所好 （打一成语）,封神榜,拾金不昧,小三上位,傲慢无礼,鸡犬不宁,1
我得百分他高兴 （打一成语）,信以为真,夹在中间,自甘堕落,清清楚楚,杂牌军,2
脱了红袍有白衣，白衣下面黑胖子。 （打一水果）,吉祥草,柠檬,鲜枣,提子,灵芝,4
血染青纱帐 （三字电影）,警察故事4,深入丛林,教廷,落山风,剃头挑子一头热,3
谑而不虐 （打成语一）,后会有期,却之不恭,打个赌吧,一言为定,说话算话,1
无口不赞子云才 （打一成语）,七十二行,不怀好意,外部矛盾,当场出丑,没齿不忘,1
对面山上一挂鞭，千人万人不敢捡。 （打一动物）,蛇,蟾蜍,蜈蚣,毒虫,巨蟒,0
游泳高手脸开花，长相奇怪吃蚯蚓。 （打一动物）,老鹰,鼠,单细胞藻类,螳螂虾,麝鼠,3
不知不觉已贯彻 （中药名）,细辛,黄芩,防己,木通,虎杖,3
任是深山更深处，也应无计避征徭。 （中国电影）,我爱杰西卡,运虎记,特高课在行动,多情的帽子,水上春秋,3
不敢公开搓麻将 （打一成语）,穷极思变,糅合,比翼连枝,打趣,游手好闲,4
依 （打一俗语四字）,别有用心,浪子回头,情种,那家伙,心中有数,4
吴宫排阵 （打一唐诗目）,列女操,怀良人,马嵬二首,华阳集,寄令狐郎中,0
天籁之音 （打一成语）,名至实归,非比寻常,天下无双,独到之处,不同凡响,4
初次相亲来杭州 （打一电视剧名）,无间道,宫,前殿,掌门,李信与红娘子,4
树碑立传 （打一古代著作）,高鹗,聊斋志异,程乙本,石头记,红楼梦,0
一树桃花，村落人家，云间新月挂。 （打一称谓）,潜水员,驴友,探险家,徒步,玩户外,1
吕布除后得安定 （打二字称谓）,大师,名模,明星,大师,围观,2
黑姐姐，白肚皮，不吃谷来不吃米，你若问我在哪里，我就住在你屋里。 （打一动物）,蝠鲼,鹅,猴子,两栖动物,两栖动物,2
致富之后更节俭 （打一成语）,可多,门庭若市,鲜血淋漓,而如今,望而却步,1
一只鸟，真奇妙，嘴巴叫，肝肠跳。 （打一器物）,哨子,唿唿,小鸡,耳朵,呼噜噜,3
与君重聚首，忆念分离时。 （打一西厢记篇目）,青娥,诗剑,筝,琴心,筝,2
一年四季绿丫丫，不生枝叶亦开花，天天张开一只手，讨得刺毛满手爬。 （打一植物）,含羞草,吊兰,盆栽,植物,仙人掌,3
口吃者讲话 （打成语一）,不甘落后,冰释前嫌,家丑,痞满,永恒的魅力,2
江河纵横峰峦林立 （打成语一）,拿手好戏,走马上任,惟我独尊,隐瞒,如鱼得水,4
一间房子盖得奇，两头大来中间细，两个胖子住里面，都穿一件紫红衣。 （打一植物）,核桃,花生,腰果,蚕豆,南瓜籽,3
善攀树木善游泳，粪便提香做咖啡。 （打一动物）,猞猁,苏门羚,黄鼬,黑麂,大灵猫,4
不移不动四只脚，移移动动八只脚。 （打一物）,除草剂,哈登,伞,导航工具,凡士林,2
复婚 （打三字电影）,再生缘,来日方长,金牌冰人,思无邪,牵手,0
诗兴一发即放荡 （五字俗语）,确有其事,坐实,无风不起浪,道听途说,一面之词,2
儿童习作·卷帘格 （报刊名）,鲁藜,小说林,诗刊社,中国作家,文学少年,3
褒贬之辞 （打一成语）,1968年,更新换代,人不为己天诛地灭,大仁大义,江山入座,3
上帝照镜子 （动物名）,蛸科,蛐蛐,长颈鹿,狐狸的故事,蛸科,3
朱红果儿挂树腰，透明天浆甜度高。 （打一水果）,柿枣,鲜枣,榴莲,提子,apple,3
赤也为之小 （中药名）,一点红,艳艳,海棠,蕊黄,凤仙花,0
腿长胳膊短，眉毛遮住眼。没人不吭声，有人它乱窜（打一动物名）,蜾蠃,鸭子,潮虫,小云雀,巴哥,0
闺中只是空相忆 （打一成语）,从没有想过,无所事事,一门心思,巴不得,深知,2
到处开展竞赛 （打一成语）,屡见不鲜,屈指可数,很少,曾经有人,比比皆是,4
屠龙技成却无用 （打一称谓）,谈判专家,披萨制作,驴友,麦加,老榕,0
嘴巴里吃进去，肚子里掏出来，连着东南西北，通向五洲四海。 （打一常见物）,花瓶,邮筒,手帕,地球仪,钟表,1
逗得母亲乐呵呵 （打一成语）,惊讶,大靠山,落花时节,强人所难,会通精神,2
身穿一件白衣裳，体内小虫黄又黄，人人知它害处大，吃它不如不吃强。 （打一物）,茶叶,水果糖,红南京,大前门,香烟,0
匍匐 （打成语一）,钦佩不已,五体投地,喜出望外,目瞪口呆,无限崇拜,1
拒绝向导 （打一成语）,无望,载歌载舞,心胸狭窄,逝水东流,零零星星,4
缺货单 （打成语一）,还行,别着急,掌上明珠,人过留名,算,2
将军头戴铁帽，怒气大得直冒，你若和它穷泡，躺在地上睡觉。 （打一物）,耢,旱桥,标枪,核桃手串,热气球,4
真心想走 （打一成语）,切莫,从长计议,权衡轻重,因小失大,三思而行,4
弹尽天下曲 （打一成语）,开怀大笑,也哉,翻脸不认人,低声下气,固执己见,3
飞机灭虫 （打成语一）,上行下效,一人得道,尸位素餐,广开言路,争利,1
红尘 （中药）,海蟾,沿红村,肉桂,白前,白术,1
